"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"경기도 의정부시 (4115000000)","459,346","459,346","26,429","39,474","52,559","60,507","66,923","81,084","71,655","39,011","18,690","2,959","55","225,135","225,135","13,615","20,341","26,172","31,228","34,205","39,512","34,701","17,462","7,095","795","9","234,211","234,211","12,814","19,133","26,387","29,279","32,718","41,572","36,954","21,549","11,595","2,164","46"
"경기도 의정부시 의정부1동(4115051000)","37,701","37,701","2,108","1,925","6,069","7,116","5,429","5,688","5,241","2,750","1,195","175","5","18,935","18,935","1,107","957","2,645","3,707","3,028","3,033","2,683","1,270","459","46","0","18,766","18,766","1,001","968","3,424","3,409","2,401","2,655","2,558","1,480","736","129","5"
"경기도 의정부시 의정부2동(4115052000)","29,256","29,256","1,053","1,836","4,279","4,449","3,961","5,162","4,597","2,588","1,175","155","1","14,587","14,587","545","961","2,140","2,402","2,099","2,585","2,205","1,155","445","50","0","14,669","14,669","508","875","2,139","2,047","1,862","2,577","2,392","1,433","730","105","1"
"경기도 의정부시 호원1동(4115054500)","32,998","32,998","1,215","2,438","3,723","3,520","4,340","5,974","5,552","4,010","1,974","245","7","15,914","15,914","598","1,272","1,813","1,810","2,199","2,947","2,586","1,766","846","74","3","17,084","17,084","617","1,166","1,910","1,710","2,141","3,027","2,966","2,244","1,128","171","4"
"경기도 의정부시 호원2동(4115055500)","31,657","31,657","1,360","2,702","3,565","3,465","4,143","5,757","5,172","3,347","1,894","248","4","15,157","15,157","705","1,368","1,767","1,830","2,037","2,741","2,435","1,426","764","82","2","16,500","16,500","655","1,334","1,798","1,635","2,106","3,016","2,737","1,921","1,130","166","2"
"경기도 의정부시 장암동(4115056100)","18,191","18,191","827","1,686","1,805","1,866","2,554","3,261","3,069","1,962","1,010","151","0","8,640","8,640","425","854","935","943","1,254","1,528","1,465","833","366","37","0","9,551","9,551","402","832","870","923","1,300","1,733","1,604","1,129","644","114","0"
"경기도 의정부시 신곡1동(4115056700)","41,098","41,098","2,111","3,102","4,411","5,242","5,439","7,813","7,405","3,656","1,625","289","5","20,049","20,049","1,081","1,622","2,221","2,730","2,764","3,638","3,585","1,687","638","82","1","21,049","21,049","1,030","1,480","2,190","2,512","2,675","4,175","3,820","1,969","987","207","4"
"경기도 의정부시 신곡2동(4115056800)","43,469","43,469","2,256","4,003","5,094","4,846","5,845","8,084","7,552","3,737","1,736","314","2","20,938","20,938","1,168","2,112","2,604","2,472","2,860","3,775","3,582","1,638","641","86","0","22,531","22,531","1,088","1,891","2,490","2,374","2,985","4,309","3,970","2,099","1,095","228","2"
"경기도 의정부시 송산1동(4115057300)","31,243","31,243","1,919","2,632","3,475","4,471","4,362","5,624","4,967","2,420","1,149","219","5","15,272","15,272","999","1,320","1,775","2,329","2,259","2,683","2,381","1,074","409","43","0","15,971","15,971","920","1,312","1,700","2,142","2,103","2,941","2,586","1,346","740","176","5"
"경기도 의정부시 송산2동(4115057600)","30,550","30,550","1,534","3,464","3,661","3,357","4,604","6,281","4,144","2,109","1,189","202","5","15,143","15,143","793","1,766","1,939","1,791","2,221","3,092","2,106","928","454","52","1","15,407","15,407","741","1,698","1,722","1,566","2,383","3,189","2,038","1,181","735","150","4"
