번호,칵테일,조주법,글라스,가니쉬,재료1,재료2,재료3+
1,Pousse Cafe,Float,Stemed Liqueur Glass,없음,Grenadine Syrup 1/3part,Creme De Menthe(Green) 1/3part,Brandy 1/3part
2,Manhattan,Stir,Cocktail Glass,Cherry,Bourbon Whiskey 1 1/2oz,Sweet Vermouth 3/4oz,Angostura Bitters 1dash
3,Dry Martini,Stir,Cocktail Glass,Green Olive,Dry Gin 2oz,Dry Vermouth 1/3oz,
4,Old Fashioned,Build,Old-fashioned Glass,Orange & Cherry,Bourbon Whiskey 1 1/2oz,Cubed Sugar 1ea,Angostura Bitters 1dash; Soda Water 1/2oz
5,Brandy Alexander,Shake,Cocktail Glass,Nutmeg Powder,Brandy 3/4oz,Creme De Cacao(Brown) 3/4oz,Light Milk 3/4oz
6,Bloody Mary,Build,Highball Glass,Lemon/Celery,Vodka 1 1/2oz,Worcestershire Sauce 1tsp,Tabasco 1dash; Salt&Pepper; Tomato Juice
7,Singapore Sling,Shake/Build,Footed Pilsner Glass,Orange & Cherry,Dry Gin 1 1/2oz,Lemon Juice 1/2oz,Powdered Sugar 1tsp; Club Soda; Cherry Brandy 1/2oz
8,Black Russian,Build,Old-fashioned Glass,없음,Vodka 1oz,Coffee Liqueur 1/2oz,
9,Margarita,Shake,Cocktail Glass,Salt Rim,Tequila 1 1/2oz,Triple Sec 1/2oz,Lime Juice 1/2oz
10,Rusty Nail,Build,Old-fashioned Glass,없음,Scotch Whisky 1oz,Drambuie 1/2oz,
11,Whiskey Sour,Shake/Build,Sour Glass,Lemon & Cherry,Bourbon Whiskey 1 1/2oz,Lemon Juice 1/2oz,Powdered Sugar 1tsp; Soda Water 1oz
12,New York,Shake,Cocktail Glass,Twist of Lemon Peel,Bourbon Whiskey 1 1/2oz,Lime Juice 1/2oz,Powdered Sugar 1tsp; Grenadine Syrup 1/2tsp
13,Harvey Wallbanger,Build/Float,Collins Glass,없음,Vodka 1 1/2oz,Orange Juice,Galliano 1/2oz
14,Daiquiri,Shake,Cocktail Glass,없음,Light Rum 1 3/4oz,Lime Juice 3/4oz,Powdered Sugar 1tsp
15,Kiss of Fire,Shake,Cocktail Glass,Sugar Rim,Vodka 1oz,Sloe Gin 1/2oz,Dry Vermouth 1/2oz; Lemon Juice 1tsp
16,B-52,Float,Sherry Glass,없음,Coffee Liqueur 1/3part,Bailey's Irish Cream 1/3part,Grand Marnier 1/3part
17,June Bug,Shake,Collins Glass,Pineapple & Cherry,Midori 1oz,Coconut Rum 1/2oz,Banana Liqueur 1/2oz; Pineapple Juice 2oz; S&S Mix 2oz
18,Bacardi Cocktail,Shake,Cocktail Glass,없음,Bacardi White Rum 1 3/4oz,Lime Juice 3/4oz,Grenadine Syrup 1tsp
19,Sloe Gin Fizz,Shake/Build,Highball Glass,Lemon,Sloe Gin 1 1/2oz,Lemon Juice 1/2oz,Powdered Sugar 1tsp; Club Soda
20,Cuba Libre,Build,Highball Glass,Lemon Wedge,Light Rum 1 1/2oz,Lime Juice 1/2oz,Cola
21,Grasshopper,Shake,Champagne Glass,없음,Creme De Menthe(Green) 1oz,Creme De Cacao(White) 1oz,Light Milk 1oz
22,Seabreeze,Build,Highball Glass,Lime/Lemon Wedge,Vodka 1 1/2oz,Cranberry Juice 3oz,Grapefruit Juice 1/2oz
23,Apple Martini,Shake,Cocktail Glass,Apple Slice,Vodka 1oz,Apple Pucker 1oz,Lime Juice 1/2oz
24,Negroni,Build,Old-fashioned Glass,Twist of Lemon Peel,Dry Gin 3/4oz,Sweet Vermouth 3/4oz,Campari 3/4oz
25,Long Island Iced Tea,Build,Collins Glass,Lime/Lemon Wedge,Gin 1/2oz,Vodka 1/2oz,Rum 1/2oz; Tequila 1/2oz; Triple Sec 1/2oz; S&S Mix 1 1/2oz; Cola
26,Sidecar,Shake,Cocktail Glass,없음,Brandy 1oz,Cointreau/Triple Sec 1oz,Lemon Juice 1/4oz
27,Mai-Tai,Blend,Footed Pilsner Glass,Pineapple(Orange)&Cherry,Light Rum 1 1/4oz,Triple Sec 3/4oz,Lime Juice 1oz; Pineapple Juice 1oz; Orange Juice 1oz; Grenadine 1/4oz
